driverRef,qualifying_position,past_wins,is_winner
irvine,9,0.0,0
frentzen,6,0.0,0
berger,4,0.0,0
brundle,11,0.0,0
michael_schumacher,3,0.0,0
alesi,5,0.0,0
moreno,20,0.0,0
barrichello,7,0.0,0
coulthard,2,0.0,0
inoue,19,0.0,0
wendlinger,18,0.0,0
montermini,22,0.0,0
badoer,15,0.0,0
hakkinen,24,0.0,0
damon_hill,2,0.0,0
villeneuve,1,0.0,0
irvine,3,0.0,0
berger,7,0.0,0
hakkinen,5,0.0,0
salo,10,0.0,0
panis,11,0.0,0
frentzen,9,0.0,0
rosset,18,0.0,0
diniz,20,0.0,0
katayama,15,0.0,0
lamy,17,0.0,0
michael_schumacher,4,0.0,0
fisichella,16,0.0,0
barrichello,8,0.0,0
coulthard,13,0.0,0
verstappen,12,0.0,0
alesi,6,0.0,0
brundle,19,0.0,0
herbert,14,0.0,0
damon_hill,1,0.0,0
alesi,5,0.0,0
michael_schumacher,4,0.0,0
hakkinen,7,0.0,0
salo,11,0.0,0
panis,15,0.0,0
irvine,10,0.0,0
diniz,22,0.0,0
katayama,16,0.0,0
lamy,18,0.0,0
badoer,19,0.0,0
brundle,6,0.0,0
barrichello,2,0.0,0
frentzen,9,0.0,0
coulthard,14,0.0,0
herbert,12,0.0,0
villeneuve,3,0.0,0
berger,8,0.0,0
montermini,20,0.0,0
rosset,17,0.0,0
verstappen,13,0.0,0
marques,21,0.0,0
damon_hill,1,0.0,0
villeneuve,3,0.0,0
alesi,4,0.0,0
barrichello,6,0.0,0
irvine,10,0.0,0
verstappen,7,0.0,0
coulthard,9,0.0,0
panis,12,0.0,0
herbert,17,0.0,0
montermini,22,0.0,0
berger,5,0.0,0
michael_schumacher,2,0.0,0
lamy,19,0.0,0
salo,16,0.0,0
brundle,15,0.0,0
marques,14,0.0,0
frentzen,11,0.0,0
diniz,18,0.0,0
katayama,13,0.0,0
rosset,20,0.0,0
badoer,21,0.0,0
hakkinen,8,0.0,0
villeneuve,2,0.0,0
michael_schumacher,3,0.0,0
coulthard,6,0.0,0
damon_hill,1,0.0,0
barrichello,5,0.0,0
brundle,11,0.0,0
herbert,12,0.0,0
hakkinen,9,0.0,0
berger,8,0.0,0
diniz,17,0.0,0
rosset,20,0.0,0
lamy,19,0.0,0
fisichella,18,0.0,0
salo,14,0.0,0
katayama,16,0.0,0
frentzen,10,0.0,0
verstappen,13,0.0,0
panis,15,0.0,0
irvine,7,0.0,0
alesi,4,0.0,0
damon_hill,2,0.0,0
michael_schumacher,1,0.0,0
berger,7,0.0,0
irvine,6,0.0,0
barrichello,9,0.0,0
alesi,5,0.0,0
diniz,17,0.0,0
hakkinen,11,0.0,0
lamy,18,0.0,0
badoer,21,0.0,0
villeneuve,3,0.0,0
panis,13,0.0,0
katayama,16,0.0,0
coulthard,4,0.0,0
rosset,20,0.0,0
verstappen,14,0.0,0
brundle,12,0.0,0
frentzen,10,0.0,0
fisichella,19,0.0,0
herbert,15,0.0,0
salo,8,0.0,0
montermini,22,0.0,0
panis,14,0.0,0
coulthard,5,0.0,0
herbert,13,0.0,0
frentzen,9,0.0,0
salo,11,0.0,0
hakkinen,8,0.0,0
irvine,7,0.0,0
villeneuve,10,0.0,0
alesi,3,0.0,0
badoer,21,0.0,0
damon_hill,2,0.0,0
brundle,16,0.0,0
berger,4,0.0,0
diniz,17,0.0,0
rosset,20,0.0,0
katayama,15,0.0,0
michael_schumacher,1,0.0,0
barrichello,6,0.0,0
lamy,19,0.0,0
fisichella,18,0.0,0
verstappen,12,0.0,0
montermini,22,0.0,0
michael_schumacher,3,0.0,0
alesi,4,0.0,0
villeneuve,2,0.0,0
frentzen,11,0.0,0
hakkinen,10,0.0,0
diniz,17,0.0,0
verstappen,13,0.0,0
barrichello,7,0.0,0
berger,5,0.0,0
herbert,9,0.0,0
brundle,15,0.0,0
salo,12,0.0,0
damon_hill,1,0.0,0
katayama,16,0.0,0
irvine,6,0.0,0
panis,8,0.0,0
fisichella,19,0.0,0
coulthard,14,0.0,0
rosset,20,0.0,0
lamy,18,0.0,0
coulthard,4,0.0,0
michael_schumacher,3,0.0,0
hakkinen,6,0.0,0
berger,10,0.0,0
panis,9,0.0,0
larini,13,0.0,0
nakano,16,0.0,0
frentzen,2,0.0,0
trulli,17,0.0,0
diniz,22,0.0,0
barrichello,11,0.0,0
salo,18,0.0,0
magnussen,19,0.0,0
alesi,8,0.0,0
katayama,15,0.0,0
fisichella,14,0.0,0
verstappen,21,0.0,0
ralf_schumacher,12,0.0,0
villeneuve,1,0.0,0
irvine,5,0.0,0
herbert,7,0.0,0
damon_hill,20,0.0,0
villeneuve,1,0.0,0
berger,3,0.0,0
panis,5,0.0,0
hakkinen,4,0.0,0
michael_schumacher,2,0.0,0
alesi,6,0.0,0
herbert,13,0.0,0
fisichella,7,0.0,0
frentzen,8,0.0,0
coulthard,12,0.0,0
larini,19,0.0,0
trulli,17,0.0,0
salo,22,0.0,0
nakano,15,0.0,0
verstappen,21,0.0,0
irvine,14,0.0,0
damon_hill,9,0.0,0
katayama,18,0.0,0
ralf_schumacher,10,0.0,0
barrichello,11,0.0,0
diniz,16,0.0,0
magnussen,20,0.0,0
villeneuve,1,0.0,0
irvine,7,0.0,0
ralf_schumacher,6,0.0,0
herbert,8,0.0,0
hakkinen,17,0.0,0
berger,12,0.0,0
alesi,11,0.0,0
salo,19,0.0,0
trulli,18,0.0,0
magnussen,15,0.0,0
larini,14,0.0,0
diniz,22,0.0,0
nakano,20,0.0,0
verstappen,16,0.0,0
katayama,21,0.0,0
damon_hill,13,0.0,0
fisichella,9,0.0,0
barrichello,5,0.0,0
panis,3,0.0,0
frentzen,2,0.0,0
michael_schumacher,4,0.0,0
coulthard,10,0.0,0
frentzen,2,0.0,0
michael_schumacher,3,0.0,0
irvine,9,0.0,0
fisichella,6,0.0,0
alesi,14,0.0,0
hakkinen,8,0.0,0
larini,12,0.0,0
panis,4,0.0,0
salo,19,0.0,0
verstappen,21,0.0,0
katayama,22,0.0,0
diniz,17,0.0,0
villeneuve,1,0.0,0
coulthard,10,0.0,0
barrichello,13,0.0,0
herbert,7,0.0,0
ralf_schumacher,5,0.0,0
nakano,18,0.0,0
damon_hill,15,0.0,0
berger,11,0.0,0
magnussen,16,0.0,0
trulli,20,0.0,0
michael_schumacher,2,0.0,0
barrichello,10,0.0,0
irvine,15,0.0,0
panis,12,0.0,0
salo,14,0.0,0
fisichella,4,0.0,0
magnussen,19,0.0,0
verstappen,22,0.0,0
berger,17,0.0,0
katayama,20,0.0,0
frentzen,1,0.0,0
nakano,21,0.0,0
larini,11,0.0,0
alesi,9,0.0,0
villeneuve,3,0.0,0
ralf_schumacher,6,0.0,0
herbert,7,0.0,0
trulli,18,0.0,0
coulthard,5,0.0,0
hakkinen,8,0.0,0
damon_hill,13,0.0,0
diniz,16,0.0,0
villeneuve,1,0.0,0
panis,12,0.0,0
alesi,4,0.0,0
michael_schumacher,7,0.0,0
herbert,10,0.0,0
coulthard,3,0.0,0
hakkinen,5,0.0,0
frentzen,2,0.0,0
fisichella,8,0.0,0
berger,6,0.0,0
verstappen,19,0.0,0
irvine,11,0.0,0
magnussen,22,0.0,0
morbidelli,13,0.0,0
trulli,18,0.0,0
diniz,21,0.0,0
ralf_schumacher,9,0.0,0
barrichello,17,0.0,0
salo,14,0.0,0
nakano,16,0.0,0
damon_hill,15,0.0,0
katayama,20,0.0,0
michael_schumacher,1,0.0,0
alesi,8,0.0,0
fisichella,6,0.0,0
frentzen,4,0.0,0
herbert,13,0.0,0
nakano,19,0.0,0
coulthard,5,0.0,0
diniz,16,0.0,0
damon_hill,15,0.0,0
morbidelli,18,0.0,0
panis,10,0.0,0
salo,17,0.0,0
verstappen,14,0.0,0
wurz,11,0.0,0
barrichello,3,0.0,0
